name,manager,technology_executive
Compliance Companion,Ken Popkin,Gaurav Vijaywargia
APR,Ken Popkin,Gaurav Vijaywargia
Sales Forecasting Tool,Ken Popkin,Gaurav Vijaywargia
Multi-variate Sales Forecasting,Ken Popkin,Gaurav Vijaywargia
Semantic Search,Manish Sannat,Gaurav Vijaywargia
Smart Assistant,Manish Sannat,Gaurav Vijaywargia
AmwayGPT,Manish Sannat,Gaurav Vijaywargia
MealPlate,Sayan Chakraborty,Gaurav Vijaywargia
Lineage,Sayan Chakraborty,Gaurav Vijaywargia
ACDP Comms 360 Profile,Ryan Vetter,Gaurav Vijaywargia
Shopping Assistant,Ryan Vetter,Gaurav Vijaywargia
Business Operations Dashboard,Smiti Majumdar,Gaurav Vijaywargia
Data Quality,Smiti Majumdar,Gaurav Vijaywargia
Operational Reporting,Smiti Majumdar,Gaurav Vijaywargia
"Global Data Set- Order, Account, Item, Digital",Smiti Majumdar,Gaurav Vijaywargia
Data Platform Operations,Darrell Tanis,Gaurav Vijaywargia
Digital Enablement,Darrell Tanis,Gaurav Vijaywargia
Data Catalog,Darrell Tanis,Gaurav Vijaywargia
GDW Decommission,Darrell Tanis,Gaurav Vijaywargia
Tableau Server Upgrade,Darrell Tanis,Gaurav Vijaywargia
Cost Savings and Monitoring,Darrell Tanis,Gaurav Vijaywargia
Informatica Decommission,Darrell Tanis,Gaurav Vijaywargia
Production Operation Support,Cliff Seow,Gaurav Vijaywargia
Observability,Cliff Seow,Gaurav Vijaywargia
B2B webMethods HA Setup,Cliff Seow,Gaurav Vijaywargia
Value Chain webMethods Stack Upgrade / HA Setup,Cliff Seow,Gaurav Vijaywargia
Kafka UI to Kafka Bat,Cliff Seow,Gaurav Vijaywargia
JWKS Edge Migration,Cliff Seow,Gaurav Vijaywargia
AWS Optimization / Housekeeping,Cliff Seow,Gaurav Vijaywargia
Jenkin Upgrade,Cliff Seow,Gaurav Vijaywargia
API Call Log Observability,Mike Heyn,Gaurav Vijaywargia
Security Enhancements,Mike Heyn,Gaurav Vijaywargia
API Management ,Mike Heyn,Gaurav Vijaywargia
API Self-Service (Developer Apps / API Keys / Proxies),Mike Heyn,Gaurav Vijaywargia
MAGIC API to Native JWT,Mike Heyn,Gaurav Vijaywargia
KeyBridge (CAS),Mike Heyn,Gaurav Vijaywargia
Event Driven Architecture,Srikanth Prathipati,Gaurav Vijaywargia
Common framework assets,Srikanth Prathipati,Gaurav Vijaywargia
Platform readiness for Camel Deployments - GCP,Srikanth Prathipati,Gaurav Vijaywargia
Schema Registry Optimizations & Enhancements,Srikanth Prathipati,Gaurav Vijaywargia
Airflow MFT (Phase 1),Karthik Ramasamy,Gaurav Vijaywargia
PLM Upgrade (Camel Migration Phase 1),Karthik Ramasamy,
STARLiMS Upgrade,Karthik Ramasamy,
ftp to sftp migration,Karthik Ramasamy,
JDE Upgrade Problem Resolution Support,Karthik Ramasamy,
WMS Upgrade,Karthik Ramasamy,
ANA AS400 Decomm,Karthik Ramasamy,
Mongolia Work Order,Karthik Ramasamy,
Central Asia Debit Card integration to EBS,Karthik Ramasamy,
Order Trace Application Enhancement,Karthik Ramasamy,
OneSource for Global Trade,Karthik Ramasamy,
Legacy 3 Replacement,Karthik Ramasamy,
Integration assessment / Migration,Nancy Wong,Gaurav Vijaywargia
Hybris CA UM to Kafka Migration,Nancy Wong,
Project Ocean,Nancy Wong,
Poland E-Invoice,Nancy Wong,
Taiwan Payment Gateway,Nancy Wong,
Philipines MEP Kafka,Nancy Wong,
Vietnam Invoice Legal Requirement,Nancy Wong,
NextGen Commerce,Renuka Dabas,
NextGen IMS/OMS,Renuka Dabas,
NextGen MLP 1.0,Renuka Dabas,
MecuryGate CW,Renuka Dabas,
Central Asia Enhancement,Renuka Dabas,
Europe Enhancement,Renuka Dabas,
LATAM MDMS,Renuka Dabas,
MEP India and Central Asia (Including Kafka Enablement ),Renuka Dabas,
Central Asia - Kyrgyzstan Market launch,Renuka Dabas,
